step;result;time
 0;0.6736120291832148379698913093052641260090998061507277388125369131344986160775922048776816926651303428936796821054517377555696164672053746283555417440315678758213938149414606606358706155458141901474170953084589945926762789185494137375030192890263371776;0.0001174
 1;0.0231423376098075217682025667046907179858859132135884213351873665517705880692732167017639896400434719860407477271235346680747090822731333809562944594895359632254284952994929382283463811861061956941794101456893014751534095734952266349932732695378395136;0.0037387
 2;0.0231423376098075217682025667046907179858859132135884213351873665517705880692732167017639896400434719860407477271235346680747090822731333809562944594895359632254284952994929382283463811861061956941794101456893014751534095734952266349932732695378395136;0.0045128
 3;0.0004261726487830655218908928895011826209467104035479996856427116310860040570678939603076057620056112509627717010737217872982375463341887374361060443530945649511934340724738003233142377132211153378454490815820612584614549474556059312479593482403446784;0.0104241
 4;0.0004261726487830655218908928895011826209467104035479996856427116310860040570678939603076057620056112509627717010737217872982375463341887374361060443530945649511934340724738003233142377132211153378454490815820612584614549474556059312479593482403446784;0.0103588
 5;0.0000013273580340111777643359755226517478553330672429058206032958453542840823108850824261055593930757227823336305667564080000601734259766034490529704061153992038116461805867772848196549192076111534576244549469348867621154789871244683713365918259085312;0.0183585
 6;0.0000013273580340111777643359755226517478553330672429058206032958453542840823108850824261055593930757227823336305667564080000601734259766034490529704061153992038116461805867772848196549192076111534576244549469348867621154789871244683713365918259085312;0.0249799
 7;0.0000000097999071142557369398605025117806278888349913940895422876732687289478992365132720443729992869260242719187150756808195212357197389274375991979430092418003533473549929542807348833923479484382494384876662596326177803764807148905687838621142351872;0.0321603
 8;0.0000000097999071142557369398605025117806278888349913940895422876732687289478992365132720443729992869260242719187150756808195212357197389274375991979430092418003533473549929542807348833923479484382494384876662596326177803764807148905687838621142351872;0.0345802
 9;0.0000000000064904681029985405185046680947152115611118402042856437494821221536939611384716775668334199983399668463332386394372835772931576698599727121025410923203332889055641176817925731419962478418685752342633118142583897123093508401832137792428179456;0.0361307
10;0.0000000000064904681029985405185046680947152115611118402042856437494821221536939611384716775668334199983399668463332386394372835772931576698599727121025410923203332889055641176817925731419962478418685752342633118142583897123093508401832137792428179456;0.0397871
