step;result;time
 0;0.1023858515927358649958682918948613328759556505804090758947918249598973773725527304421055676684637599599095364392554218390623420483823566963054254910474395247094436496742071413771137502001879525695308693864295885688868677986959080361734188085238824960;0.0001861
 1;0.1023858515927358649958682918948613328759556505804090758947918249598973773725527304421055676684637599599095364392554218390623420483823566963054254910474395247094436496742071413771137502001879525695308693864295885688868677986959080361734188085238824960;0.0002603
 2;0.0033251008693991576441705123654450805600935035037079963881543434602571798072448601932900290752518997501178738284301205065161267292522326223968929821944938362584625609311139092807255580230713052500233477886237011504013612211801436511767122849204011008;0.0024586
 3;0.0033251008693991576441705123654450805600935035037079963881543434602571798072448601932900290752518997501178738284301205065161267292522326223968929821944938362584625609311139092807255580230713052500233477886237011504013612211801436511767122849204011008;0.0065401
 4;0.0000232798612611634102010207520349631265984690143976710179468679891648163192216919047722604697382402429679689211275685650920597085396845550401748090377154287301104180358777469596148620305512169671389571618560160110024974015451539576137182663799734272;0.0122506
 5;0.0000232798612611634102010207520349631265984690143976710179468679891648163192216919047722604697382402429679689211275685650920597085396845550401748090377154287301104180358777469596148620305512169671389571618560160110024974015451539576137182663799734272;0.0217826
 6;0.0000001108150668927134099351005076802689432999982638187924340198309382760202932538435891938897973671299355152056357317748506941385940899154901380110494083305971417358271422844024772797706271309613027416811420039087002657711154827908916680739736518656;0.0480013
 7;0.0000001108150668927134099351005076802689432999982638187924340198309382760202932538435891938897973671299355152056357317748506941385940899154901380110494083305971417358271422844024772797706271309613027416811420039087002657711154827908916680739736518656;0.0576522
 8;0.0000000003489953463323873867505027931908731906258861298434920805745763339452923385945573436935348031114534129480991026543945364586807768379765361355792610385326298054820944051395071577123064536264523745596437379116260225644153985007117629850224951296;0.100202
 9;0.0000000003489953463323873867505027931908731906258861298434920805745763339452923385945573436935348031114534129480991026543945364586807768379765361355792610385326298054820944051395071577123064536264523745596437379116260225644153985007117629850224951296;0.118062
10;0.0000000000004722198039443499287659634415919441260904594133967240048557193245662563678043631381840011956970841098231525152225114886157100510530702919944199568654215847597727947635795233684758891910794876824861742489372946849071466579995997966438498304;0.16756
11;0.0000000000004722198039443499287659634415919441260904594133967240048557193245662563678043631381840011956970841098231525152225114886157100510530702919944199568654215847597727947635795233684758891910794876824861742489372946849071466579995997966438498304;0.222311
12;0.0000000000000010342225357070944524259655423362896132620724769790240799130657603414566638528108080680149646114077481018108964753449502836742921797783943034779059265735684440034901421949529635634116638701956163885543681329359711128838595047450904363008;0.293816
13;0.0000000000000010342225357070944524259655423362896132620724769790240799130657603414566638528108080680149646114077481018108964753449502836742921797783943034779059265735684440034901421949529635634116638701956163885543681329359711128838595047450904363008;0.363957
14;0.0000000000000000004839706140651333810094100497681396407684103392886560602551664643563852460973500990063722790748493232025019973030028817127222468949769374275178820023342443430422820471622156686854260521263335522183303600726462714268723497546165518336;0.474384
15;0.0000000000000000004839706140651333810094100497681396407684103392886560602551664643563852460973500990063722790748493232025019973030028817127222468949769374275178820023342443430422820471622156686854260521263335522183303600726462714268723497546165518336;0.569959
