step;differense;time
 0;0.6736120291832148379698913093052641260090998061507277388125369131344986160775922048776816926651303428936796821054517377555696164672053746283555417440315678758213938149414606606358706155458141901474170953084589945926762789185494137375030192890263371776;1.05e-05
 1;0.0058441495999425626502159487172596099965053375802731629771022817916854927865535119523605385412853897701019650891514573311607454820987405954780569982739517877806936287884265593521381604482719728042760662752933212783475587522840398030659770517175664640;0.000494
 2;0.0058441495999425626502159487172596099965053375802731629771022817916854927865535119523605385412853897701019650891514573311607454820987405954780569982739517877806936287884265593521381604482719728042760662752933212783475587522840398030659770517175664640;0.0019171
 3;0.0004176119807303962811742619988849919118160880966968492213706653289641653350772650145289190098722374214862881246644213606810391403614571773236956470020661650852448055313266064619713929838175485501010929074788155118424351240372246267517270155658788864;0.0064225
 4;0.0004176119807303962811742619988849919118160880966968492213706653289641653350772650145289190098722374214862881246644213606810391403614571773236956470020661650852448055313266064619713929838175485501010929074788155118424351240372246267517270155658788864;0.0167353
 5;0.0000000608553659352070125579508582649373512568574253110408491694934507642955291950718335527559813524573265984582095664805159315431513098500515825924025183805088260627591211521192284219062883029161357278722900654001551788280760874015575528608754565120;0.0261393
 6;0.0000000608553659352070125579508582649373512568574253110408491694934507642955291950718335527559813524573265984582095664805159315431513098500515825924025183805088260627591211521192284219062883029161357278722900654001551788280760874015575528608754565120;0.0387465
 7;0.0000000089041814329761041290458873380568081869057299401227041110793216503067625732365964502862738257949133604618061004356558574201490220447540295697890356708165178309741841107742943940143401165952071615941478056660380119304154316926152417220755456000;0.0680062
 8;0.0000000089041814329761041290458873380568081869057299401227041110793216503067625732365964502862738257949133604618061004356558574201490220447540295697890356708165178309741841107742943940143401165952071615941478056660380119304154316926152417220755456000;0.117037
 9;0.0000000000031175846424478265428811695736534135704214899579564008692406151650214715374595752415184966027293875861730125573606304222664594241381018800095635061268905991872825561581235208705664079636386301645153438743771252313575684585448022875106705408;0.131676
10;0.0000000000031175846424478265428811695736534135704214899579564008692406151650214715374595752415184966027293875861730125573606304222664594241381018800095635061268905991872825561581235208705664079636386301645153438743771252313575684585448022875106705408;0.168665
11;0.0000000000000318720295720925571518881085504147970510723977028188877854500273179626040927454279378839763507868380121943518967095191870319162664597562534271487388262292105654602578310682794155720227936914835224124241412073453111396699099130447865577472;0.245828
12;0.0000000000000318720295720925571518881085504147970510723977028188877854500273179626040927454279378839763507868380121943518967095191870319162664597562534271487388262292105654602578310682794155720227936914835224124241412073453111396699099130447865577472;0.317782
13;0.0000000000000000355480810414645808912740308367208838617427599047321132795777318562099991267260799071235138485982851078318752875991182202596722898065066454353471543504202473393294967874742809011560262480329379171635544280802926962459761172465659674624;0.393657
14;0.0000000000000000355480810414645808912740308367208838617427599047321132795777318562099991267260799071235138485982851078318752875991182202596722898065066454353471543504202473393294967874742809011560262480329379171635544280802926962459761172465659674624;0.491279
15;0.0000000000000000226768872105119273562534425181757485323968434584519530844155734243719540883005392440029291408312779697382047102068908399572232944151560132091313714915821996504363401657823460613026629257669434088202228551319545836549531026794745954304;0.609877
16;0.0000000000000000226768872105119273562534425181757485323968434584519530844155734243719540883005392440029291408312779697382047102068908399572232944151560132091313714915821996504363401657823460613026629257669434088202228551319545836549531026794745954304;0.725837
17;0.0000000000000000226439272350843096365598066616565713355951444980760453619192336028232870944847871756172305743880284087347839836879884575010997095800680675527094817719467168322233746126321596532446917801425132198996444490610311479925802754378817339392;0.840914
18;0.0000000000000000226439272350843096365598066616565713355951444980760453619192336028232870944847871756172305743880284087347839836879884575010997095800680675527094817719467168322233746126321596532446917801425132198996444490610311479925802754378817339392;1.04525
19;0.0000000000000000226439403478441427493432452384918266517630268149978876686628039953088005600523740920297984422948397179296552368684282141620804872281357815118751040979553397986723713050107594348807947822299062063933774870049562513019134519415545004032;1.28588
20;0.0000000000000000226439403478441427493432452384918266517630268149978876686628039953088005600523740920297984422948397179296552368684282141620804872281357815118751040979553397986723713050107594348807947822299062063933774870049562513019134519415545004032;1.40651
21;0.0000000000000000226439403608060057665095518925641897280733559537801620378230756320928179751677599757467003819352659760566883692102699550136154954977848151945866203121487502017508934347429592638930425868770548141812641589787849378595767326864771645440;1.66039
22;0.0000000000000000226439403608060057665095518925641897280733559537801620378230756320928179751677599757467003819352659760566883692102699550136154954977848151945866203121487502017508934347429592638930425868770548141812641589787849378595767326864771645440;1.88788
23;0.0000000000000000226439403608009583349506923015833507776111806118178821154626338983966373369798943689270958412359900113694486319704370586480766188132483561343207766639703760133132440020910949323195692257858290333726372789598346852791812595769642319872;2.21184
24;0.0000000000000000226439403608009583349506923015833507776111806118178821154626338983966373369798943689270958412359900113694486319704370586480766188132483561343207766639703760133132440020910949323195692257858290333726372789598346852791812595769642319872;2.52329
25;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;2.95589
26;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;3.3727
27;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;3.83233
28;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;4.17856
29;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;4.80501
30;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;5.30285
31;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;5.79259
32;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;6.68091
33;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;7.34511
34;0.0000000000000000226439403608009560468168237803683073206153383103997372186594613013695596897532932823633386363464583798706509505935931994763746846262333064158902411088165778112568322794220542298770573585338453540702225853172974213095189621203974225920;7.81818
